倉庫番号,倉庫名称,分類,区分,仕向け区分
106,高谷倉庫,発注では使用していない,国内管理用倉庫区分,国内管理用
DELCODE,2012年12月18日削除した倉庫の代り,発注では使用していない,国内管理用倉庫区分,国内管理用
H1412,リスト,発注では使用していない,国内管理用倉庫区分,国内管理用
S0001,経営管理G,発注では使用していない,国内管理用倉庫区分,国内管理用
S0002,02倉庫(明石工場切圧倉庫),日本国内,日本国内,日本国内
S0003,工場消耗品,発注では使用していない,国内管理用倉庫区分,国内管理用
S0004,1F組立工場倉庫,日本国内,日本国内,日本国内
S0006,3F組立工場（ｺﾍﾞﾙｺ）,日本国内,日本国内,日本国内
S0007,3F組立工場倉庫（川重）,日本国内,日本国内,日本国内
S0008,2F組立工場（ｺﾏﾂ）,日本国内,日本国内,日本国内
S0009,共栄産業殿倉庫,発注では使用していない,国内管理用倉庫区分,国内管理用
S0011,東亜電機工業殿倉庫,発注では使用していない,国内管理用倉庫区分,国内管理用
S0022,Motherson,Motherson india,その他 販売,その他販売
S0033,BEI-二輪(P-2),インドネシア２輪,２輪,BEI向け 二輪
S0040,TATA-HITACHI,発注では使用していない,国内管理用倉庫区分,国内管理用
S0066,BEI-BPI,BPI,その他 販売,その他販売
S0068,BEI-プロト(P-1),HE-Exp,日本建機,BEI向け HE輸出
S0075,外注安全在庫,発注では使用していない,国内管理用倉庫区分,国内管理用
S0077,調達G,日本国内,日本国内,日本国内
S0080,社長倉庫,発注では使用していない,国内管理用倉庫区分,国内管理用
S0084,外注払出倉庫,発注では使用していない,国内管理用倉庫区分,国内管理用
S0088,BEI-BRI,BRI,その他 販売,その他販売
S0089,生産管理G,発注では使用していない,国内管理用倉庫区分,国内管理用
S0100,工場消耗品,発注では使用していない,国内管理用倉庫区分,国内管理用
S0111,明立倉庫,発注では使用していない,国内管理用倉庫区分,国内管理用
S0112,総務G,発注では使用していない,国内管理用倉庫区分,国内管理用
S0113,技術G,発注では使用していない,国内管理用倉庫区分,国内管理用
S0187,営業G,発注では使用していない,国内管理用倉庫区分,国内管理用
S0200,キャブテック用リレー,発注では使用していない,国内管理用倉庫区分,国内管理用
S0326,サンプル倉庫(無償),発注では使用していない,国内管理用倉庫区分,国内管理用
S0700,BEI-四輪(P-2),インドネシア２輪,２輪,BEI向け 二輪
S0802,日立倉庫,日本国内,日本国内,日本国内
S0930,ASKARA,ASKARA,その他 販売,その他販売
S1000,本社１F倉庫,発注では使用していない,国内管理用倉庫区分,国内管理用
S1001,外注倉庫,発注では使用していない,国内管理用倉庫区分,国内管理用
S1200,播州電装サービス部宛,発注では使用していない,国内管理用倉庫区分,国内管理用
S2000,出荷前倉庫,発注では使用していない,国内管理用倉庫区分,国内管理用
S2000BK,製品S2000バックアップ,発注では使用していない,国内管理用倉庫区分,国内管理用
S2001,品証倉庫,発注では使用していない,国内管理用倉庫区分,国内管理用
S2002,物流倉庫,発注では使用していない,国内管理用倉庫区分,国内管理用
S2222,Telcon倉庫,発注では使用していない,国内管理用倉庫区分,国内管理用
S3000,部品センター,日本国内,日本国内,日本国内
S3333,部品販売用倉庫,日本国内,日本国内,日本国内
S3500,BEI-プロト(P-2),インドネシア２輪,２輪,BEI向け 二輪
S4000,FORECAST倉庫,HE-Exp,日本建機,BEI向け HE輸出
S5000,BEI-BEE建機(P-1),HE-Exp,日本建機,BEI向け HE輸出
S6000,BEI-建機(P-2),HE-DOM,インドネシア建機,BEI向け HE国内
S6003,本社2F 物流,日本国内,日本国内,日本国内
S6004,本社3F 製造 コマツ,日本国内,日本国内,日本国内
S6005,本社2F 荒木S宛,日本国内,日本国内,日本国内
S6006,本社2F 検査,日本国内,日本国内,日本国内
S6007,BEI-ツール他(P-2),日本国内,日本国内,日本国内
S6100,本社１F物流G,日本国内,日本国内,日本国内
S6300,本社1Fバッテリー製造,日本国内,日本国内,日本国内
S7000,大久保電線在庫,発注では使用していない,国内管理用倉庫区分,国内管理用
S8000,開発試作倉庫,発注では使用していない,国内管理用倉庫区分,国内管理用
S9000,内作改造元品目倉庫,発注では使用していない,国内管理用倉庫区分,国内管理用
S9001,本社2F営業,発注では使用していない,国内管理用倉庫区分,国内管理用
S9002,明石工場,発注では使用していない,国内管理用倉庫区分,国内管理用
Z1000,生産管理部保留倉庫,発注では使用していない,国内管理用倉庫区分,国内管理用
Ｓ2020,荒木倉庫（ﾄｰﾎﾞｼ行）,発注では使用していない,国内管理用倉庫区分,国内管理用
